label,steps,terminated,avg_step_time_ms,roll_mean_err_deg,roll_converged_step,roll_converged_s,roll_ss_mean_err_deg,roll_ss_std_deg,pitch_mean_err_deg,pitch_converged_step,pitch_converged_s,pitch_ss_mean_err_deg,pitch_ss_std_deg
PID,2000,True,0.49,5.40,never,never,1.88,0.29,3.28,373,3.73,0.96,1.19
data_norm_model,2000,True,233.92,4.39,398,3.98,0.40,0.30,8.45,89,0.89,8.24,6.82
hard_targets_residual_model_v0.1,2000,True,300.65,3.84,346,3.46,0.23,0.32,10.23,never,never,6.06,1.86
mppi_data_model,2000,True,307.56,6.87,379,3.79,4.21,6.17,11.20,never,never,22.73,4.41
Prior_only,2000,True,295.54,2.49,235,2.35,0.30,0.31,6.09,never,never,5.39,0.10
JSBSim_env,2000,True,12594.95,6.32,never,never,2.86,0.14,17.10,never,never,16.07,0.14
