label,steps,terminated,avg_step_time_ms,roll_mean_err_deg,roll_converged_step,roll_converged_s,roll_ss_mean_err_deg,roll_ss_std_deg,pitch_mean_err_deg,pitch_converged_step,pitch_converged_s,pitch_ss_mean_err_deg,pitch_ss_std_deg
PID,2000,True,0.61,0.80,380,3.80,0.07,0.17,0.24,22,0.22,0.17,0.24
data_norm_model,2000,True,1157.41,0.92,152,1.52,0.59,0.58,0.77,184,1.84,0.66,0.84
hard_targets_residual_model_v0.1,2000,True,1085.79,0.94,148,1.48,0.61,0.76,1.48,never,never,1.14,1.41
mppi_data_model,2000,True,1062.22,7.91,never,never,19.25,11.33,14.88,never,never,20.00,9.80
Prior_only,2000,True,1034.06,1.22,never,never,0.81,0.92,1.62,never,never,1.78,1.62
JSBSim_env,2000,True,35637.97,1.12,never,never,0.75,0.95,1.33,never,never,1.14,1.48
