label,steps,terminated,avg_step_time_ms,roll_mean_err_deg,roll_converged_step,roll_converged_s,roll_ss_mean_err_deg,roll_ss_std_deg,pitch_mean_err_deg,pitch_converged_step,pitch_converged_s,pitch_ss_mean_err_deg,pitch_ss_std_deg
PID,2000,True,0.54,0.80,380,3.80,0.07,0.17,0.24,22,0.22,0.17,0.24
data_norm_model,2000,True,582.83,0.62,150,1.50,0.29,0.19,0.39,137,1.37,0.25,0.28
hard_targets_residual_model_v0.1,2000,True,579.13,0.49,212,2.12,0.14,0.18,0.60,172,1.72,0.42,0.50
mppi_data_model,2000,True,573.88,3.07,never,never,5.92,6.33,2.99,never,never,6.58,4.74
Prior_only,2000,True,575.81,0.61,177,1.77,0.26,0.28,1.18,232,2.32,1.02,0.44
JSBSim_env,2000,True,20488.85,0.53,340,3.40,0.26,0.30,0.87,never,never,0.72,0.71
